Name,Type,Start,Duration,End,Rating,Cost,Seats_avail,route,ID
KSRTC (Kerala) - 136,Swift Deluxe Non AC Air Bus (2+2),20:30,06h 40m,03:10,3.4,680,31 Seats available,Bangalore_to_Kannur,1
KSRTC (Kerala) - 101,Swift Deluxe Non AC Air Bus (2+2),21:15,07h 15m,04:30,4.2,660,31 Seats available,Bangalore_to_Kannur,2
KSRTC (Kerala) - 98,Swift Deluxe Non AC Air Bus (2+2),21:55,07h 15m,05:10,3.6,690,31 Seats available,Bangalore_to_Kannur,3
KSRTC (Kerala) - 1767,Super Express Non AC Seater Air Bus (2+2),23:10,07h 15m,06:25,4.1,680,31 Seats available,Bangalore_to_Kannur,4
NS Transports,NON A/C Sleeper (2+1),22:45,06h 35m,05:20,4.1,749,31 Seats available,Bangalore_to_Kannur,5
MMK Travels,VE A/C Seater / Sleeper (2+1),22:15,07h 15m,05:30,4.1,700,31 Seats available,Bangalore_to_Kannur,6
Sugama Tourist,A/C Sleeper (2+1),22:00,07h 30m,05:30,4.1,750,31 Seats available,Bangalore_to_Kannur,7
AdAshoka Travel and Logistics,A/C Semi Sleeper (2+2),22:30,07h 15m,05:45,3.9,800,31 Seats available,Bangalore_to_Kannur,8
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),21:45,07h 35m,05:20,4,648,31 Seats available,Bangalore_to_Kannur,9
DLT BUS,A/C Sleeper (2+1),22:30,07h 30m,06:00,4.3,800,31 Seats available,Bangalore_to_Kannur,10
GOLDEN TRAVEL AGENCIES,NON A/C Sleeper (2+1),22:30,06h 15m,04:45,4.3,749,31 Seats available,Bangalore_to_Kannur,11
AdGOLDEN TRAVEL AGENCIES,Non A/C Seater / Sleeper (2+1),22:30,06h 30m,05:00,3.6,599,31 Seats available,Bangalore_to_Kannur,12
GOLDEN TRAVEL AGENCIES,Volvo A/C Semi Sleeper (2+2),22:45,06h 00m,04:45,4.3,799,31 Seats available,Bangalore_to_Kannur,13
Kalpaka Travels,A/C Sleeper (2+1),22:10,06h 50m,05:00,4.2,899,31 Seats available,Bangalore_to_Kannur,14
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),21:30,07h 45m,05:15,4.1,849,31 Seats available,Bangalore_to_Kannur,15
NS Transports,A/C Sleeper (2+1),22:15,07h 30m,05:45,4.4,879,31 Seats available,Bangalore_to_Kannur,16
NS Transports,Non A/C Seater / Sleeper (2+1),22:00,08h 00m,06:00,4.1,647,31 Seats available,Bangalore_to_Kannur,17
Ashoka Travel and Logistics,A/C Sleeper (2+1),21:45,07h 45m,05:30,4.3,900,31 Seats available,Bangalore_to_Kannur,18
National travels and logistics,Bharat Benz A/C Sleeper (2+1),22:30,07h 00m,05:30,3.3,749,31 Seats available,Bangalore_to_Kannur,19
P K Travels,A/C Sleeper (2+1),22:15,07h 15m,05:30,3.5,765,31 Seats available,Bangalore_to_Kannur,20
National travels and logistics,Non A/C Seater / Sleeper (2+1),22:40,07h 05m,05:45,3.5,599,31 Seats available,Bangalore_to_Kannur,21
Ashoka Travel and Logistics,NON A/C Semi Sleeper (2+2),22:00,07h 30m,05:30,3.5,600,31 Seats available,Bangalore_to_Kannur,22
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:00,07h 00m,05:00,3.9,665,31 Seats available,Bangalore_to_Kannur,23
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:00,08h 10m,06:10,3.4,648,31 Seats available,Bangalore_to_Kannur,24
GOLDEN TRAVEL AGENCIES,A/C Sleeper (2+1),22:00,06h 55m,04:55,3.9,899,31 Seats available,Bangalore_to_Kannur,25
P K Travels,NON A/C Semi Sleeper (2+2),21:45,07h 15m,05:00,3.9,629,31 Seats available,Bangalore_to_Kannur,26
Kohinoor Travels,A/C Sleeper (2+1),20:30,08h 30m,05:00,3.1,850,31 Seats available,Bangalore_to_Kannur,27
Arya Travels,A/C Sleeper (2+1),19:40,09h 35m,05:15,2.4,795,31 Seats available,Bangalore_to_Kannur,28
KSRTC (Kerala) - 97,Swift Deluxe Non AC Air Bus (2+2),16:00,08h 10m,00:10,3.5,677,25 Seats available,Bangalore_to_Kozhikode,29
KSRTC (Kerala) - 380,Swift Deluxe Non AC Air Bus (2+2),16:15,08h 05m,00:20,3.6,677,25 Seats available,Bangalore_to_Kozhikode,30
KSRTC (Kerala) - 553,Super Express Non AC Seater Air Bus (2+2),16:45,08h 55m,01:40,3.3,762,25 Seats available,Bangalore_to_Kozhikode,31
KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),19:00,09h 25m,04:25,3.7,762,25 Seats available,Bangalore_to_Kozhikode,32
KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),20:00,07h 00m,03:00,3.6,474,25 Seats available,Bangalore_to_Kozhikode,33
KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),20:40,09h 05m,05:45,3.6,762,25 Seats available,Bangalore_to_Kozhikode,34
KSRTC (Kerala) - 1586,Swift Deluxe Non AC Air Bus (2+2),21:30,08h 55m,06:25,3.1,762,25 Seats available,Bangalore_to_Kozhikode,35
KSRTC (Kerala) - 2133,Swift Deluxe Non AC Air Bus (2+2),22:10,09h 10m,07:20,4.3,762,25 Seats available,Bangalore_to_Kozhikode,36
KSRTC (Kerala) - 54,Garuda Premium,22:25,06h 55m,05:20,3.8,914,25 Seats available,Bangalore_to_Kozhikode,37
KSRTC (Kerala) - 574,Super Express Non AC Seater Air Bus (2+2),23:00,10h 35m,09:35,3.5,667,25 Seats available,Bangalore_to_Kozhikode,38
KSRTC (Kerala) - 583,Super Express Non AC Seater Air Bus (2+2),23:30,10h 15m,09:45,3.9,667,25 Seats available,Bangalore_to_Kozhikode,39
KSRTC (Kerala) - 56,SWIFT-GARUDA A/C SEATER BUS,23:40,10h 10m,09:50,3.9,863,25 Seats available,Bangalore_to_Kozhikode,40
MMK Travels,A/C Seater / Sleeper (2+1),22:30,09h 00m,07:30,4.4,750,25 Seats available,Bangalore_to_Kozhikode,41
SKS Tours & Travels,A/C Sleeper (2+1),21:15,08h 30m,05:45,4.2,849,25 Seats available,Bangalore_to_Kozhikode,42
Skylite Travels,A/C Sleeper (2+1),22:00,08h 30m,06:30,4.1,850,25 Seats available,Bangalore_to_Kozhikode,43
AdSuraj Holidays,NON AC Seater / Sleeper 2+1,20:30,09h 30m,06:00,3.4,600,25 Seats available,Bangalore_to_Kozhikode,44
DLT BUS,A/C Sleeper (2+1),22:30,09h 00m,07:30,4.2,800,25 Seats available,Bangalore_to_Kozhikode,45
NS Transports,Non A/C Seater / Sleeper (2+1),21:45,08h 25m,06:10,4.1,647,25 Seats available,Bangalore_to_Kozhikode,46
MMK Travels,A/C Sleeper (2+1),23:00,08h 30m,07:30,4.3,765,25 Seats available,Bangalore_to_Kozhikode,47
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,4.1,2429,25 Seats available,Bangalore_to_Kozhikode,48
Silver Line Travels,Non A/C Seater / Sleeper (2+1),22:15,08h 30m,06:45,4.3,665,25 Seats available,Bangalore_to_Kozhikode,49
NS Transports,VE A/C Sleeper (2+1),22:45,08h 45m,07:30,4.1,855,25 Seats available,Bangalore_to_Kozhikode,50
SAAM BUS,VE A/C Sleeper (2+1),21:45,09h 00m,06:45,4.2,850,25 Seats available,Bangalore_to_Kozhikode,51
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),22:15,08h 15m,06:30,4.3,700,25 Seats available,Bangalore_to_Kozhikode,52
CITI TOURS,Bharat Benz A/C Sleeper (2+1),18:30,09h 00m,03:30,,800,25 Seats available,Bangalore_to_Kozhikode,53
Suraj Holidays,VE A/C Sleeper (2+1),22:30,09h 00m,07:30,3.5,880,25 Seats available,Bangalore_to_Kozhikode,54
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,3.8,599,25 Seats available,Bangalore_to_Kozhikode,55
P K Travels,A/C Sleeper (2+1),18:45,11h 45m,06:30,3.7,810,25 Seats available,Bangalore_to_Kozhikode,56
P K Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,3.7,675,25 Seats available,Bangalore_to_Kozhikode,57
SAAM BUS,A/C Seater / Sleeper (2+1),21:45,08h 05m,05:50,3.5,700,25 Seats available,Bangalore_to_Kozhikode,58
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:00,09h 05m,07:05,3.5,799,25 Seats available,Bangalore_to_Kozhikode,59
Kyros Connect,Bharat Benz A/C Semi Sleeper (2+2),23:00,10h 00m,09:00,3.8,599,25 Seats available,Bangalore_to_Kozhikode,60
P K Travels,Non A/C Seater / Sleeper (2+1),18:45,10h 30m,05:15,3.5,585,25 Seats available,Bangalore_to_Kozhikode,61
SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:00,08h 30m,05:30,3.6,899,25 Seats available,Bangalore_to_Kozhikode,62
A1 Travels,A/C Seater / Sleeper (2+1),21:45,09h 15m,07:00,3.3,650,25 Seats available,Bangalore_to_Kozhikode,63
National travels and logistics,A/C Sleeper (2+1),22:45,08h 15m,07:00,3.8,699,25 Seats available,Bangalore_to_Kozhikode,64
National travels and logistics,NON A/C Sleeper (2+1),20:15,10h 00m,06:15,3.4,599,25 Seats available,Bangalore_to_Kozhikode,65
DA Transports,A/C Sleeper (2+1),21:45,09h 10m,06:55,3.7,699,25 Seats available,Bangalore_to_Kozhikode,66
A1 Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 45m,06:45,2.8,550,25 Seats available,Bangalore_to_Kozhikode,67
A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.2,650,25 Seats available,Bangalore_to_Kozhikode,68
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),22:15,07h 55m,06:10,2.1,665,25 Seats available,Bangalore_to_Kozhikode,69
KSRTC (Kerala) - 2711,Super Fast Non AC Seater (2+3),16:00,05h 30m,21:30,1.5,269,40 Seats available,Ernakulam_to_Kozhikode,70
KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),16:30,05h 50m,22:20,2.8,269,40 Seats available,Ernakulam_to_Kozhikode,71
KSRTC (Kerala) - 2498,Low Floor AC Seater 2+2,16:45,05h 20m,22:05,3.3,383,40 Seats available,Ernakulam_to_Kozhikode,72
KSRTC (Kerala) - 2819,Super Fast Non AC Seater (2+3),16:55,05h 20m,22:15,2.8,269,40 Seats available,Ernakulam_to_Kozhikode,73
KSRTC (Kerala) - 2572,Super Fast Non AC Seater (2+3),17:10,06h 40m,23:50,2.8,261,40 Seats available,Ernakulam_to_Kozhikode,74
KSRTC (Kerala) - 723,Super Fast Non AC Seater (2+3),17:10,05h 35m,22:45,4,269,40 Seats available,Ernakulam_to_Kozhikode,75
KSRTC (Kerala) - 2569,Super Fast Non AC Seater (2+3),18:00,06h 35m,00:35,2.7,261,40 Seats available,Ernakulam_to_Kozhikode,76
KSRTC (Kerala) - 549,Super Express Non AC Seater Air Bus (2+2),18:05,06h 00m,00:05,3.3,309,40 Seats available,Ernakulam_to_Kozhikode,77
KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,04h 40m,23:16,3.2,309,40 Seats available,Ernakulam_to_Kozhikode,78
KSRTC (Kerala) - 486,Super Express Non AC Seater Air Bus (2+2),20:05,04h 25m,00:30,1.4,309,40 Seats available,Ernakulam_to_Kozhikode,79
KSRTC (Kerala) - 2131,Super Express Non AC Seater Air Bus (2+2),20:29,05h 21m,01:50,2.8,288,40 Seats available,Ernakulam_to_Kozhikode,80
KSRTC (Kerala) - 3545,Super Express Non AC Seater Air Bus (2+2),21:00,04h 45m,01:45,2.8,309,40 Seats available,Ernakulam_to_Kozhikode,81
KSRTC (Kerala) - 915,Super Fast Non AC Seater (2+3),21:35,05h 35m,03:10,2.8,261,40 Seats available,Ernakulam_to_Kozhikode,82
KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),21:46,05h 24m,03:10,3.8,269,40 Seats available,Ernakulam_to_Kozhikode,83
KSRTC (Kerala) - 2071,Super Express Non AC Seater Air Bus (2+2),22:10,04h 20m,02:30,3.7,268,40 Seats available,Ernakulam_to_Kozhikode,84
KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,05h 20m,03:30,2.8,269,40 Seats available,Ernakulam_to_Kozhikode,85
KSRTC (Kerala) - 368,AC MULTI AXLE,22:25,04h 25m,02:50,1.9,524,40 Seats available,Ernakulam_to_Kozhikode,86
KSRTC (Kerala) - 408,Super Express Non AC Seater Air Bus (2+2),22:30,04h 15m,02:45,2.8,299,40 Seats available,Ernakulam_to_Kozhikode,87
KSRTC (Kerala) - 1673,Super Fast Non AC Seater (2+3),22:34,05h 21m,03:55,2.8,269,40 Seats available,Ernakulam_to_Kozhikode,88
KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,05h 01m,03:35,3.5,231,40 Seats available,Ernakulam_to_Kozhikode,89
KSRTC (Kerala) - 667,Super Fast Non AC Seater (2+3),22:35,03h 55m,02:30,3.4,230,40 Seats available,Ernakulam_to_Kozhikode,90
KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),22:55,04h 57m,03:52,1.8,309,40 Seats available,Ernakulam_to_Kozhikode,91
KSRTC (Kerala) - 431,Super Fast Non AC Seater (2+3),23:15,05h 30m,04:45,2.5,269,40 Seats available,Ernakulam_to_Kozhikode,92
CITI TOURS,Bharat Benz A/C Sleeper (2+1),18:30,05h 45m,00:15,,700,40 Seats available,Ernakulam_to_Kozhikode,93
Shajees Motors,A/C Semi Sleeper (2+2),19:20,05h 55m,01:15,3.4,500,40 Seats available,Ernakulam_to_Kozhikode,94
Ubc travels,A/C Seater/Sleeper (2+1),20:45,06h 15m,03:00,3.4,900,40 Seats available,Ernakulam_to_Kozhikode,95
Kalpaka Travels 1,A/C Sleeper (2+1),20:55,05h 35m,02:30,4.5,800,40 Seats available,Ernakulam_to_Kozhikode,96
Sheraton Tours and Travels,A/C Seater/Sleeper (2+1),21:00,04h 45m,01:45,4.5,480,40 Seats available,Ernakulam_to_Kozhikode,97
Adrin Travels,Bharat Benz A/C Seater /Sleeper (2+1),21:00,05h 00m,02:00,4.6,800,40 Seats available,Ernakulam_to_Kozhikode,98
Jacobs Travels,A/C Semi Sleeper (2+2),21:00,05h 30m,02:30,3.3,700,40 Seats available,Ernakulam_to_Kozhikode,99
UFO Bus,A/C Sleeper (2+1),21:15,05h 30m,02:45,4.1,799,40 Seats available,Ernakulam_to_Kozhikode,100
Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,05h 05m,02:20,4.5,680,40 Seats available,Ernakulam_to_Kozhikode,101
UFO Bus,A/C Seater / Sleeper (2+1),21:20,05h 20m,02:40,4.5,480,40 Seats available,Ernakulam_to_Kozhikode,102
Sona Travels,Bharat Benz A/C Sleeper (2+1),21:30,05h 15m,02:45,3.2,850,40 Seats available,Ernakulam_to_Kozhikode,103
UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,05h 15m,02:45,4.5,649,40 Seats available,Ernakulam_to_Kozhikode,104
Cochin Bus,A/C Sleeper (2+1),21:30,04h 50m,02:20,4.5,900,40 Seats available,Ernakulam_to_Kozhikode,105
Madhavi Travels,A/C Semi Sleeper (2+2),21:40,05h 55m,03:35,4,599,40 Seats available,Ernakulam_to_Kozhikode,106
Madhavi Travels,A/C Sleeper (2+1),21:40,04h 15m,01:55,3.9,799,40 Seats available,Ernakulam_to_Kozhikode,107
SG Travels,Bharat Benz A/C Sleeper (2+1),21:45,04h 45m,02:30,4.4,789,40 Seats available,Ernakulam_to_Kozhikode,108
Arya Travels,A/C Sleeper (2+1),21:45,05h 30m,03:15,3.2,695,40 Seats available,Ernakulam_to_Kozhikode,109
Madhavi Travels,A/C Sleeper (2+1),21:45,05h 15m,03:00,4.3,899,40 Seats available,Ernakulam_to_Kozhikode,110
Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,05h 00m,03:00,4.5,600,40 Seats available,Ernakulam_to_Kozhikode,111
Sonia Travels,A/C Seater/Sleeper (2+1),22:15,04h 14m,02:29,3.9,680,40 Seats available,Ernakulam_to_Kozhikode,112
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 31m,05:30,3.5,750,40 Seats available,Ernakulam_to_Kozhikode,113
CGR Tranz,A/C Semi Sleeper (2+2),20:30,05h 45m,02:15,,600,40 Seats available,Ernakulam_to_Kozhikode,114
Achayans Holidays,VE A/C Semi Sleeper (2+2),21:35,04h 40m,02:15,,500,40 Seats available,Ernakulam_to_Kozhikode,115
Greenline kerala,A/C Seater Push Back (2+2),22:01,04h 44m,02:45,1.6,500,40 Seats available,Ernakulam_to_Kozhikode,116
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),22:45,04h 15m,03:00,2.4,950,40 Seats available,Ernakulam_to_Kozhikode,117
A1 Travels,Bharat Benz A/C Sleeper (2+1),23:45,04h 15m,04:00,2.7,900,40 Seats available,Ernakulam_to_Kozhikode,118
A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 01m,05:00,2.8,700,40 Seats available,Ernakulam_to_Kozhikode,119
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:59,04h 31m,04:30,2.4,700,40 Seats available,Ernakulam_to_Kozhikode,120
Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,01:15,04h 45m,06:00,2.2,649,40 Seats available,Ernakulam_to_Kozhikode,121
Galaxy Tours,A/C Semi Sleeper (2+2),01:15,04h 45m,06:00,1.3,650,40 Seats available,Ernakulam_to_Kozhikode,122
Adrin Travels,A/C Seater/Sleeper (2+1),21:00,05h 00m,02:00,4.6,1000,40 Seats available,Ernakulam_to_Kozhikode,123
Cochin Bus,Bharat Benz A/C Sleeper (2+1),21:45,04h 45m,02:30,4.5,1200,40 Seats available,Ernakulam_to_Kozhikode,124
Madhavi Travels,A/C Sleeper (2+1),23:59,04h 31m,04:30,4.3,999,40 Seats available,Ernakulam_to_Kozhikode,125
HANBAL HOLIDAYS,Bharat Benz A/C Seater /Sleeper (2+1),21:00,05h 00m,02:00,,1200,40 Seats available,Ernakulam_to_Kozhikode,126
EMERALD TRAVELS,A/C Sleeper (2+1),23:30,05h 00m,04:30,2.4,1100,40 Seats available,Ernakulam_to_Kozhikode,127
KSRTC (Kerala) - 578,Super Express Non AC Seater Air Bus (2+2),18:00,09h 05m,03:05,3.1,747,8 Seats available,Kozhikode_to_Bangalore,128
KSRTC (Kerala) - 72,SWIFT-GARUDA A/C SEATER BUS,19:05,09h 20m,04:25,3.5,976,8 Seats available,Kozhikode_to_Bangalore,129
KSRTC (Kerala) - 1583,Swift Deluxe Non AC Air Bus (2+2),20:00,08h 50m,04:50,3.9,762,8 Seats available,Kozhikode_to_Bangalore,130
KSRTC (Kerala) - 3722,SWIFT-GARUDA A/C SEATER BUS,20:45,09h 20m,06:05,,976,8 Seats available,Kozhikode_to_Bangalore,131
KSRTC (Kerala) - 234,Swift Deluxe Non AC Air Bus (2+2),21:00,09h 10m,06:10,4,742,8 Seats available,Kozhikode_to_Bangalore,132
KSRTC (Kerala) - 1584,Swift Deluxe Non AC Air Bus (2+2),21:30,08h 45m,06:15,3.3,762,8 Seats available,Kozhikode_to_Bangalore,133
KSRTC (Kerala) - 50,Swift Deluxe Non AC Air Bus (2+2),22:00,08h 55m,06:55,4.1,762,8 Seats available,Kozhikode_to_Bangalore,134
DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,4.4,1100,8 Seats available,Kozhikode_to_Bangalore,135
MMK Travels,A/C Seater / Sleeper (2+1),21:30,08h 30m,06:00,4.4,750,8 Seats available,Kozhikode_to_Bangalore,136
Skylite Travels,A/C Sleeper (2+1),22:00,08h 45m,06:45,4.2,850,8 Seats available,Kozhikode_to_Bangalore,137
AdSAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,3.6,850,8 Seats available,Kozhikode_to_Bangalore,138
Kalpaka Travels,NON A/C Seater/ Sleeper (2+1),20:15,09h 15m,05:30,4.7,600,8 Seats available,Kozhikode_to_Bangalore,139
DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,4,799,8 Seats available,Kozhikode_to_Bangalore,140
SKS Tourist Corporation (REGD),Non A/C Seater / Sleeper (2+1),20:00,09h 00m,05:00,4.2,599,8 Seats available,Kozhikode_to_Bangalore,141
AdFAST LINE BUS,A/C Sleeper (2+1),21:15,09h 00m,06:15,4.3,2429,8 Seats available,Kozhikode_to_Bangalore,142
National travels and logistics,A/C Sleeper (2+1),21:00,09h 15m,06:15,4.2,699,8 Seats available,Kozhikode_to_Bangalore,143
Silver Line Travels,Non A/C Seater / Sleeper (2+1),20:00,09h 10m,05:10,4.3,665,8 Seats available,Kozhikode_to_Bangalore,144
P K Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4,810,8 Seats available,Kozhikode_to_Bangalore,145
SKS Tours & Travels,A/C Sleeper (2+1),21:00,09h 00m,06:00,4.2,849,8 Seats available,Kozhikode_to_Bangalore,146
PSK Travels,Bharat Benz A/C Sleeper (2+1),14:45,08h 45m,23:30,4.3,990,8 Seats available,Kozhikode_to_Bangalore,147
NS Transports,VE A/C Sleeper (2+1),20:00,10h 30m,06:30,4.2,924,8 Seats available,Kozhikode_to_Bangalore,148
A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,3.3,750,8 Seats available,Kozhikode_to_Bangalore,149
SAAM BUS,A/C Seater / Sleeper (2+1),21:15,09h 00m,06:15,3.9,750,8 Seats available,Kozhikode_to_Bangalore,150
P K Travels,A/C Seater / Sleeper (2+1),21:45,09h 00m,06:45,3.1,719,8 Seats available,Kozhikode_to_Bangalore,151
P K Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,3.8,630,8 Seats available,Kozhikode_to_Bangalore,152
CITI TOURS,Bharat Benz A/C Sleeper (2+1),00:15,08h 45m,09:00,3.5,800,8 Seats available,Kozhikode_to_Bangalore,153
National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,3.5,599,8 Seats available,Kozhikode_to_Bangalore,154
MMK Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,3.8,765,8 Seats available,Kozhikode_to_Bangalore,155
Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,06:30,3.1,699,8 Seats available,Kozhikode_to_Bangalore,156
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,07:15,3.6,799,8 Seats available,Kozhikode_to_Bangalore,157
NS Transports,NON A/C Semi Sleeper / Sleeper (2+1),19:30,09h 00m,04:30,3.9,739,8 Seats available,Kozhikode_to_Bangalore,158
A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,08h 45m,06:30,2.8,550,8 Seats available,Kozhikode_to_Bangalore,159
A1 Travels,A/C Seater / Sleeper (2+1),20:00,09h 30m,05:30,2.5,600,8 Seats available,Kozhikode_to_Bangalore,160
Bharathi Travels,A/C Sleeper (2+1),15:00,08h 45m,23:45,2.7,801,8 Seats available,Kozhikode_to_Bangalore,161
Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),14:45,08h 25m,23:10,2,950,8 Seats available,Kozhikode_to_Bangalore,162
Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,09h 40m,05:55,2.3,700,8 Seats available,Kozhikode_to_Bangalore,163
Orange Tours and Travels,Bharat Benz A/C Sleeper (2+1),14:45,08h 45m,23:30,,1400,8 Seats available,Kozhikode_to_Bangalore,164
KSRTC (Kerala) - 2810,Super Fast Non AC Seater (2+3),15:25,05h 40m,21:05,3.1,269,23 Seats available,Kozhikode_to_Ernakulam,165
KSRTC (Kerala) - 720,Super Fast Non AC Seater (2+3),15:40,05h 35m,21:15,2.5,269,23 Seats available,Kozhikode_to_Ernakulam,166
KSRTC (Kerala) - 2898,Low Floor AC Seater 2+2,16:00,06h 15m,22:15,3.7,383,23 Seats available,Kozhikode_to_Ernakulam,167
KSRTC (Kerala) - 2874,Super Fast Non AC Seater (2+3),16:20,06h 10m,22:30,3.6,230,23 Seats available,Kozhikode_to_Ernakulam,168
KSRTC (Kerala) - 323,Super Fast Non AC Seater (2+3),17:25,05h 15m,22:40,1,269,23 Seats available,Kozhikode_to_Ernakulam,169
KSRTC (Kerala) - 2900,Low Floor AC Seater 2+2,18:00,06h 15m,00:15,2.4,383,23 Seats available,Kozhikode_to_Ernakulam,170
KSRTC (Kerala) - 556,Super Express Non AC Seater Air Bus (2+2),18:00,04h 50m,22:50,1.9,309,23 Seats available,Kozhikode_to_Ernakulam,171
KSRTC (Kerala) - 1872,Low Floor AC Seater 2+2,18:30,05h 14m,23:44,3.2,383,23 Seats available,Kozhikode_to_Ernakulam,172
KSRTC (Kerala) - 46,Swift Deluxe Non AC Air Bus (2+2),20:25,04h 36m,01:01,4,309,23 Seats available,Kozhikode_to_Ernakulam,173
